Nation,Year,Divorces,Birth_Rate,N_repro_female,F_Employment_Rate,F_Mean_Income,F_Median_Income,Fertility_Rate,Gdp,Employment_Gender_Gap,Closing_Housing_Price,M_Employment_Rate,M_Mean_Income,M_Median_Income,Marriages,Mean_Age_Childbearing,Population,Demand_For_Family,AVG_female_population,AVG_population_male,percentage_female_work_home,percentage_male_work_home,consumer_price_harmonized_index,F_mean_age_marriage,senior_position_woman,tertiary_ed_f,tertiary_ed_m,parliament_female,Perc_female_married_in_repro_age,Tot_f_married_in_repro_age
CZ,2018,24313.0,10.624,2343449,72.2,9781.0,8747.0,1.71,210970.5,15.2,134.4,87.4,10560.0,9490.0,54470.0,30.052,10629928,88.6,5397935,5231993,8.9,9.8,105.11666666666667,29.2,13.8,40.7,26.3,21.0,50.3525007235287,1179985
CZ,2019,24141.0,10.417,2323903,72.7,10720.0,9615.0,1.71,225613.5,15.0,146.4,87.7,11571.0,10407.0,54870.0,30.107,10671870,88.6,5413775,5258095,10.0,10.0,107.83333333333331,29.4,18.2,39.5,26.0,20.6,50.0941790675135,1164140
CZ,2020,21734.0,10.167,2303485,71.9,11551.0,10301.0,1.74,215805.4,15.3,159.5,87.2,12454.0,11158.0,45415.0,30.103,10697858,88.6,5424309,5273550,13.2,13.0,111.36666666666667,29.7,17.2,40.4,26.1,20.4,49.7809404877096,1146696
CZ,2021,21107.0,9.892,2282334,72.1,11830.0,10409.0,1.83,238249.5,15.4,200.6,87.5,12595.0,11061.0,46778.0,30.1,10505772,88.6,5328433,5177339,15.5,13.7,114.95454545454544,29.9,23.0,,,21.8,49.4647762547917,1128951
CZ,2022,19846.0,9.688,2264511,73.7,13170.0,11779.0,1.64,276265.7,14.9,214.5,88.6,14211.0,12739.0,54820.0,30.177,10672118,88.7,5425969,5246149,15.7,15.6,132.1,30.2,21.9,43.1,26.7,23.0,49.0788189502201,1111395
DK,2009,14940.0,11.373,1254626,73.1,25827.0,24241.0,1.84,231278.0,6.0,88.55,79.1,26154.0,25772.0,32934.0,30.502,5523095,82.8,2785442,2737653,24.9,29.0,92.10833333333332,,17.6,44.5,30.5,38.5,64.1891794470077,805334
DK,2010,14460.0,11.332,1258862,72.0,26743.0,24727.0,1.87,243165.4,5.7,90.78,77.7,27737.0,26374.0,30949.0,30.593,5547683,82.9,2797749,2749934,30.0,32.7,94.13333333333333,,17.7,44.9,30.5,37.6,63.6150832181062,800826
DK,2011,14484.0,10.585,1262188,71.4,29285.0,26350.0,1.75,247879.9,6.9,85.74,78.3,29961.0,27633.0,27198.0,30.693,5570572,82.8,2808893,2761679,29.4,36.6,96.63333333333333,31.4,16.3,46.5,30.8,39.1,63.0661044935461,796012
DK,2012,15709.0,10.314,1264642,71.1,29412.0,26508.0,1.73,254578.0,6.4,86.85,77.5,30248.0,27857.0,28503.0,30.751,5591572,82.9,2818758,2772814,29.2,36.7,98.90833333333336,31.8,20.8,49.7,31.1,40.8,62.5567567302343,791119
DK,2013,18875.0,9.901,1265408,71.2,29232.0,26475.0,1.67,258742.7,6.3,89.95,77.5,31084.0,28043.0,27503.0,30.834,5614932,82.9,2829366,2785566,30.7,35.9,99.425,31.9,22.9,50.0,32.4,38.0,62.0967354773464,785777
DK,2014,19435.0,10.046,1264646,71.0,30738.0,27236.0,1.69,265757.0,7.4,93.83,78.4,31531.0,28459.0,28331.0,30.907,5643475,82.9,2841829,2801647,25.2,32.1,99.775,31.9,24.0,,,38.5,61.6645319143386,779838
DK,2015,16343.0,10.212,1263275,71.5,31082.0,27529.0,1.71,273017.6,7.8,101.04,79.3,32186.0,28961.0,28853.0,30.953,5683483,82.9,2859033,2824451,25.8,32.1,100.0,31.9,25.8,52.0,34.6,37.4,61.2926624662822,774294
DK,2016,17222.0,10.638,1260537,72.5,31067.0,27571.0,1.79,283109.7,6.9,105.29,79.4,32678.0,29168.0,30767.0,30.982,5728010,82.9,2878978,2849033,31.9,37.1,100.01666666666668,32.2,27.1,,,37.4,60.9277171673483,768016
DK,2017,15265.0,10.534,1257976,73.2,32120.0,28663.0,1.75,294808.2,6.7,109.89,79.9,32891.0,29513.0,31777.0,31.055,5764980,82.9,2896654,2868326,27.5,33.9,101.075,32.4,30.3,,,37.4,60.5827929403072,762116
DK,2018,15034.0,10.509,1258104,73.9,32991.0,29362.0,1.73,302328.7,7.0,113.54,80.9,34866.0,30853.0,32525.0,31.192,5793636,83.0,2910863,2882773,26.7,30.7,101.79166666666669,32.5,27.7,54.3,37.7,36.3,60.3389657476282,759126
DK,2019,10530.0,10.452,1260490,74.7,33810.0,29805.0,1.7,309526.4,7.2,116.41,81.9,34889.0,31030.0,30635.0,31.294,5814422,83.1,2921427,2892996,27.6,30.8,102.53333333333336,32.8,30.0,55.7,38.9,39.7,60.1300081655283,757932
DK,2020,15651.0,10.56,1263384,74.3,33601.0,29864.0,1.68,311356.3,7.0,128.98,81.3,35029.0,31476.0,28538.0,31.399,5831404,83.1,2930517,2900888,36.2,37.4,102.875,33.0,33.6,55.5,39.0,39.7,59.9762770556596,757730
