Nation,Year,Divorces,Birth_Rate,N_repro_female,F_Employment_Rate,F_Mean_Income,F_Median_Income,Fertility_Rate,Gdp,Employment_Gender_Gap,Closing_Housing_Price,M_Employment_Rate,M_Mean_Income,M_Median_Income,Marriages,Mean_Age_Childbearing,Population,Demand_For_Family,AVG_female_population,AVG_population_male,percentage_female_work_home,percentage_male_work_home,consumer_price_harmonized_index,F_mean_age_marriage,senior_position_woman,tertiary_ed_f,tertiary_ed_m,parliament_female,Perc_female_married_in_repro_age,Tot_f_married_in_repro_age
EE,2022,2546.0,10.118,279591,80.4,16180.0,13854.0,1.41,36011.1,2.9,191.38,83.3,17131.0,15132.0,7200.0,30.665,1348840,77.5,708450,640391,27.9,23.5,137.03166666666667,31.0,10.3,54.8,34.0,27.7,52.5780848933221,147003
FI,2009,13527.0,11.297,1170678,71.5,22848.0,20363.0,1.86,181747.0,2.2,90.7,73.7,23955.0,21817.0,29836.0,30.116,5338871,81.8,2720511,2618360,17.5,22.4,89.32166666666667,,23.6,49.0,30.3,40.0,58.6022748720068,686043
FI,2010,13619.0,11.321,1168899,70.3,23215.0,20911.0,1.87,188143.0,3.1,94.6,73.4,24315.0,22210.0,29952.0,30.193,5363352,82.5,2731610,2631742,16.9,23.1,90.8275,,25.9,47.8,31.1,39.5,58.3529761177372,682087
FI,2011,13469.0,11.121,1166291,70.7,23803.0,21374.0,1.83,197998.0,3.9,96.76,74.6,24992.0,22742.0,28408.0,30.304,5388272,83.3,2742797,2645475,18.5,24.3,93.84666666666668,30.4,26.5,48.4,30.8,42.5,58.1440531929654,678128
FI,2012,13040.0,10.984,1163681,71.3,24871.0,22168.0,1.8,201037.0,3.3,99.63,74.6,25915.0,23475.0,28878.0,30.375,5413971,84.1,2754393,2659578,19.2,24.9,96.81416666666668,,28.6,49.2,30.8,42.5,57.9886903940312,674803
FI,2013,13766.0,10.678,1160218,71.0,25608.0,22772.0,1.75,204321.0,2.9,99.93,73.9,26633.0,24167.0,25119.0,30.452,5438972,84.9,2765479,2673493,20.1,27.0,98.95916666666666,30.4,29.8,48.9,31.6,42.5,57.8898596841991,671648
FI,2014,13682.0,10.448,1156145,71.2,25797.0,23176.0,1.71,206897.0,2.0,99.42,73.2,26956.0,24588.0,24462.0,30.486,5461512,85.6,2775398,2686114,21.2,27.7,100.15583333333332,30.6,29.2,,,42.0,57.8677931656214,669035
FI,2015,13939.0,10.103,1151674,70.7,26000.0,23330.0,1.65,211385.0,2.1,99.8,72.8,26951.0,24348.0,24708.0,30.597,5479531,86.1,2782854,2696677,23.4,28.9,100.0,31.0,29.2,48.7,32.1,41.5,57.840757005524,666136
FI,2016,13541.0,9.602,1146875,70.8,26194.0,23217.0,1.57,217518.0,3.2,101.08,74.0,27067.0,24484.0,24464.0,30.769,5495303,86.4,2788394,2706909,23.7,30.3,100.38916666666668,31.3,30.1,48.8,33.1,42.0,57.8133634898479,663047
FI,2017,13485.0,9.121,1142067,71.3,26547.0,23657.0,1.49,226301.0,3.8,102.12,75.1,27446.0,24731.0,26542.0,30.882,5508214,86.4,2792485,2715729,24.9,29.9,101.23166666666668,31.6,32.8,48.6,32.5,42.0,57.7485870230895,659527
FI,2018,13145.0,8.629,1137618,73.4,27221.0,24066.0,1.41,233462.0,3.8,103.15,77.2,28206.0,25380.0,23799.0,30.986,5515525,86.4,2794314,2721211,27.7,31.6,102.415,31.7,34.5,48.5,32.6,41.5,57.7047946731022,656460
FI,2019,13365.0,8.306,1136137,74.5,27719.0,24342.0,1.35,239858.0,3.3,103.29,77.8,28818.0,25749.0,22296.0,31.063,5521606,86.4,2795830,2725776,29.9,33.3,103.57916666666668,31.9,34.2,50.0,34.5,46.5,57.6179959233448,654619
FI,2020,13478.0,8.376,1137687,73.8,28313.0,24840.0,1.37,238038.0,3.3,106.95,77.1,29574.0,26395.0,22082.0,31.053,5529543,86.4,2798508,2731035,38.6,39.7,103.97583333333334,32.0,35.1,52.2,35.9,46.0,57.5649742991435,654909
FI,2021,,8.481,1141166,75.8,28146.0,24830.0,1.46,250664.0,2.0,111.12,77.8,29490.0,26477.0,19579.0,31.039,5541017,86.4,2802563,2738455,40.9,40.3,106.11181818181818,32.1,35.2,,,46.0,57.4841605112589,655989
FI,2022,11370.0,8.518,1146202,77.8,28905.0,25656.0,1.32,267687.0,1.2,108.53,79.0,30665.0,27631.0,21942.0,31.108,5556106,86.4,2807817,2748289,40.4,40.8,113.735,32.3,36.1,46.9,34.9,45.5,57.3242435828372,657051
FR,2009,130601.0,12.705,14231253,65.9,23392.0,19678.0,2.0,1936422.0,8.0,95.95,73.9,24468.0,20620.0,251654.0,29.916,64504541,80.8,33279670,31224872,18.4,18.8,92.4375,,10.2,47.2,38.5,20.0,58.4176792544916,8313567
FR,2010,133909.0,12.785,14190989,65.8,23630.0,19997.0,2.03,1995289.0,7.9,102.45,73.7,24584.0,20949.0,251713.0,29.968,64818789,81.1,33436456,31382333,19.3,19.9,94.045,,12.3,47.0,38.1,20.4,58.1549087786963,8252756
FR,2011,132977.0,12.55,14149509,65.6,23919.0,20044.0,2.01,2058369.0,8.1,106.28,73.7,25144.0,21020.0,236975.0,30.048,65127852,81.3,33593710,31534143,19.8,20.1,96.2,30.8,21.6,47.0,38.6,20.3,57.8856707082584,8190538
FR,2012,128371.0,12.432,14101887,66.0,24686.0,20681.0,2.01,2088804.0,7.6,104.1,73.6,25782.0,21602.0,241000.0,30.105,65438667,81.4,33749643,31689024,20.3,20.4,98.33416666666666,,25.1,47.0,38.1,24.6,57.7377567012604,8142113
FR,2013,124948.0,12.241,14047696,66.4,24955.0,20924.0,1.99,2117189.0,6.9,102.52,73.3,25977.0,21958.0,238720.0,30.205,65771309,81.5,33916678,31854631,19.8,19.5,99.3075,31.7,29.7,,,24.8,57.5862091316662,8089535
FR,2014,123537.0,12.17,13989621,67.0,24862.0,21245.0,2.0,2149765.0,6.1,100.28,73.1,26006.0,22080.0,241425.0,30.311,66312067,81.5,34202373,32109694,19.2,19.3,99.91416666666667,32.1,32.4,,,26.0,57.3435173235506,8022140
FR,2015,123668.0,11.795,13939180,67.4,25303.0,21543.0,1.96,2198432.0,5.9,100.15,73.3,26158.0,22221.0,236432.0,30.41,66548272,81.6,34337450,32210822,19.5,19.4,100.00083333333332,32.2,35.6,48.8,40.6,26.3,57.0793761877641,7956396
FR,2016,128043.0,11.501,13896459,67.7,25800.0,21822.0,1.92,2234129.0,6.1,101.84,73.8,26432.0,22479.0,232865.0,30.513,66724104,81.7,34443235,32280869,20.7,20.0,100.30583333333334,32.5,41.2,48.7,39.4,26.2,56.7982632310424,7892947
FR,2017,,11.242,13855994,68.1,25784.0,22161.0,1.89,2297242.0,6.6,105.24,74.7,26504.0,22792.0,234013.0,30.605,66918020,81.7,34553729,32364291,20.4,20.6,101.47166666666668,32.8,43.4,49.2,39.6,36.3,56.5166112046317,7830938
FR,2018,,11.053,13816970,68.9,26124.0,22405.0,1.87,2363306.0,6.4,108.58,75.3,26397.0,23127.0,234843.0,30.644,67158348,81.7,34675563,32482785,21.0,20.6,103.60166666666667,33.1,44.0,51.0,42.8,37.0,56.2315418110667,7769495
FR,2019,,10.891,13776501,69.4,26706.0,22568.0,1.86,2437635.0,5.9,112.69,75.3,27399.0,23397.0,224740.0,30.587,67388001,81.7,34791715,32596287,23.1,22.6,104.94666666666666,,45.2,52.3,43.8,37.1,55.9318479100918,7705451
FR,2020,,10.577,13732585,69.3,25270.0,22034.0,1.83,2317832.0,5.7,119.27,75.0,26559.0,23296.0,154667.0,30.579,67571107,81.8,34891818,32679289,30.7,28.3,105.49666666666668,,45.1,52.8,45.9,38.6,55.6326157376831,7639796
FR,2021,,10.496,13684502,70.2,25783.0,22478.0,1.84,2502118.0,6.2,127.52,76.4,27224.0,23847.0,218946.0,30.565,67764304,81.8,34987639,32776665,35.8,33.0,107.63272727272728,,45.3,,,39.1,55.3731554031816,7577540
FR,2022,,10.416,13640338,71.2,26026.0,22793.0,1.79,2639092.0,5.8,133.5,77.0,27699.0,24231.0,241831.0,30.624,68065015,81.9,35110131,32954884,35.7,31.4,114.03583333333334,,45.2,54.0,46.6,36.6,55.0665030086939,7511257
DE,2009,185817.0,8.14,18719085,67.8,20940.0,18378.0,1.36,2445730.0,10.7,84.2,78.5,22102.0,19450.0,378439.0,30.098,81902307,79.7,41758362,40143945,11.6,14.1,91.625,,12.9,26.9,24.4,31.4,57.4229250554468,10749046
DE,2010,187027.0,8.319,18524636,68.8,21302.0,18584.0,1.39,2564400.0,10.5,83.8,79.3,22547.0,19684.0,382047.0,30.251,81776930,80.8,41668914,40108016,11.5,14.3,92.65,,12.6,,,31.5,57.144332809447,10585779
DE,2011,187640.0,8.283,18323707,70.3,21341.0,18879.0,1.39,2693560.0,10.3,87.3,80.6,22546.0,19927.0,377816.0,30.407,80274983,81.5,41097709,39177274,10.5,12.9,94.95,30.2,15.2,29.5,25.6,32.4,56.8748222349751,10421575
DE,2012,179147.0,8.411,18127125,70.7,21562.0,19200.0,1.41,2745310.0,10.3,91.6,81.0,23046.0,20352.0,387423.0,30.534,80425823,81.4,41120362,39305462,10.3,12.6,97.0,,17.9,31.0,26.8,32.5,56.5203435117918,10245513
DE,2013,169833.0,8.484,17927271,71.5,21917.0,19163.0,1.42,2811350.0,9.5,93.0,81.0,23471.0,20340.0,373655.0,30.673,80645605,80.9,41176655,39468950,9.9,12.2,98.55833333333334,30.5,21.5,31.9,27.9,35.7,56.1465386035836,10065542
DE,2014,166199.0,8.817,17723115,72.1,22044.0,19377.0,1.47,2927430.0,9.1,96.2,81.2,23457.0,20742.0,385952.0,30.794,80982500,80.1,41286310,39696190,9.9,12.0,99.31666666666666,30.7,24.4,,,36.6,55.8018391033335,9889824
DE,2015,163335.0,9.037,17534101,72.6,23026.0,20312.0,1.5,3026180.0,8.6,101.8,81.2,24517.0,21513.0,400115.0,30.848,81686611,79.2,41511821,40174790,10.1,12.4,99.99166666666667,30.9,26.1,30.6,28.6,36.2,55.4709002105576,9726323
DE,2016,162397.0,9.552,17361096,73.5,23577.0,20884.0,1.6,3134740.0,8.1,110.4,81.6,25112.0,22115.0,410426.0,30.838,82348669,78.4,41743048,40605621,9.9,12.0,100.35833333333332,31.1,29.5,31.5,29.6,37.1,55.178452511635,9579584
DE,2017,153501.0,9.507,17196819,74.2,24339.0,21493.0,1.57,3267160.0,7.8,117.3,82.0,25737.0,22878.0,407466.0,30.972,82657002,77.5,41886661,40770342,9.9,11.7,102.06666666666666,31.2,31.9,32.5,30.2,31.7,54.9213892261536,9444731
DE,2018,148066.0,9.423,17039860,74.8,25205.0,22135.0,1.57,3365450.0,8.0,124.6,82.8,26524.0,23617.0,449466.0,31.081,82905782,76.7,42000654,40905128,10.5,12.6,104.04166666666669,,33.8,33.6,31.1,31.4,54.7202621047492,9324256
DE,2019,149010.0,9.304,16894381,75.5,25655.0,23086.0,1.54,3474110.0,8.0,132.7,83.5,27118.0,24283.0,416324.0,31.164,83092962,76.4,42090810,41002152,11.5,13.6,105.45,,35.6,34.4,32.1,31.7,54.5677557006182,9218884
DE,2020,143801.0,9.144,16767908,74.4,29546.0,25688.0,1.53,3403730.0,7.5,144.3,81.9,30861.0,26921.0,373304.0,31.145,83160871,76.1,42128805,41032066,19.5,22.3,105.84166666666664,,36.3,,,31.4,54.4396784101921,9128395
DE,2021,142751.0,9.167,16659609,75.6,28779.0,24725.0,1.58,3617450.0,7.4,162.5,83.0,30182.0,25912.0,357785.0,31.127,83196078,76.0,42149426,41046652,24.2,25.8,109.16363636363636,,36.0,,,34.5,54.3846586767432,9060271
DE,2022,,9.139,16562707,76.8,28267.0,24687.0,1.46,3876810.0,7.8,156.7,84.6,29594.0,25874.0,390743.0,31.228,83797985,76.0,42485066,41312919,23.5,25.1,118.70833333333331,,37.2,39.5,34.9,35.1,54.3642366385512,9004189
HU,2009,23820.0,9.602,2389979,58.6,5271.0,4790.0,1.32,94605.6,7.9,92.42,66.5,5433.0,4958.0,36730.0,29.039,10022650,78.7,5262675,4759975,8.0,7.2,85.42750000000001,,13.3,29.7,20.6,11.2,49.8611337796498,1191670
HU,2010,23873.0,9.068,2380406,59.0,4698.0,4300.0,1.25,99771.6,6.6,91.99,65.6,4827.0,4420.0,35520.0,29.28,10000023,78.7,5249623,4750401,8.2,8.0,89.46749999999999,,13.6,30.9,21.4,8.8,49.2094447785917,1171384
HU,2011,23335.0,8.892,2354491,59.2,5086.0,4504.0,1.23,102152.0,7.3,89.34,66.5,5287.0,4712.0,35812.0,29.407,9971727,78.7,5233914,4734284,8.4,8.6,92.97583333333334,28.6,5.3,33.6,22.9,8.8,49.6224825366215,1168356
HU,2012,21830.0,9.065,2330092,60.4,5216.0,4656.0,1.34,100247.6,6.9,84.67,67.3,5454.0,4885.0,36161.0,29.373,9920362,78.7,5200052,4720310,9.6,9.1,98.24166666666667,,7.4,36.5,24.7,9.1,50.0947439065197,1167253
HU,2013,20209.0,9.075,2318789,61.2,5039.0,4462.0,1.35,102239.7,8.1,84.13,69.3,5230.0,4627.0,36986.0,29.367,9893082,78.7,5183410,4709672,10.5,10.8,99.91833333333334,29.0,11.3,37.3,25.3,9.4,50.477291451363,1170461
HU,2014,19576.0,9.412,2303732,64.1,5169.0,4556.0,1.44,106263.8,9.4,91.22,73.5,5377.0,4704.0,38780.0,29.413,9866468,78.7,5166883,4699585,9.9,9.5,99.935,29.3,11.8,,,10.1,50.8242686096688,1170854
HU,2015,20315.0,9.367,2289160,66.2,5191.0,4587.0,1.45,112791.0,9.6,104.65,75.8,5378.0,4759.0,46137.0,29.534,9843028,78.7,5150879,4692149,9.0,8.5,99.99833333333332,29.2,17.8,38.4,26.1,10.1,51.1755393746758,1171489
HU,2016,19552.0,9.683,2272195,68.9,5367.0,4780.0,1.53,116255.7,9.7,116.95,78.6,5647.0,4991.0,51805.0,29.533,9814023,78.7,5132118,4681905,7.3,7.1,100.4475,29.2,12.3,36.6,24.4,10.1,51.5029783653235,1170248
HU,2017,18495.0,9.633,2252887,69.9,5566.0,4990.0,1.54,127024.7,11.1,131.96,81.0,5819.0,5264.0,50572.0,29.647,9787966,78.9,5114520,4673447,6.8,6.5,102.84416666666668,29.4,14.5,35.8,24.7,10.1,51.7722037612372,1166369
HU,2018,16952.0,9.54,2234339,71.4,6133.0,5410.0,1.55,136055.4,10.7,152.32,82.1,6321.0,5608.0,50828.0,29.76,9775564,78.8,5101852,4673712,6.3,5.8,105.83833333333332,29.6,14.9,36.6,24.9,12.6,51.9033793135723,1159697
HU,2019,17600.0,9.47,2216481,72.1,6482.0,5771.0,1.55,146554.5,11.0,171.88,83.1,6764.0,6094.0,65268.0,29.783,9771141,79.0,5092836,4678306,4.7,4.5,109.45916666666666,29.6,12.9,36.6,24.9,12.2,52.0180688511137,1152970
HU,2020,14979.0,9.496,2196357,71.9,7198.0,6391.0,1.59,137920.2,11.2,179.08,83.1,7547.0,6862.0,67095.0,29.726,9750149,79.1,5077857,4672292,12.3,9.9,113.15333333333332,29.5,9.9,36.4,25.3,12.6,52.1522406200562,1145449
HU,2021,,9.474,2177670,73.5,7272.0,6524.0,1.61,153980.2,10.6,219.86,84.1,7609.0,6908.0,72030.0,29.713,9709891,79.1,5055557,4654335,14.0,12.8,118.95545454545454,29.7,9.4,,,13.1,52.2959056932376,1138832
HU,2022,17695.0,9.46,2284552,75.3,7654.0,6900.0,1.56,168549.5,9.8,258.43,85.1,8177.0,7223.0,63967.0,29.797,9644377,79.1,5009310,4635068,10.8,10.3,137.22083333333333,,10.4,37.4,26.7,13.1,52.3684596421006,1196384
IE,2009,3341.0,16.783,1180871,62.8,25889.0,22680.0,2.06,169519.7,10.4,115.58,73.2,27045.0,23714.0,21627.0,31.364,4535375,78.6,2278559,2256816,9.7,17.7,97.76666666666668,,8.3,55.2,42.9,16.3,51.8840343325162,612683
IE,2010,3113.0,16.595,1171770,61.0,24464.0,20686.0,2.05,167391.4,9.0,99.98,70.0,25109.0,21906.0,20594.0,31.419,4560155,78.7,2294955,2265200,9.6,17.0,96.19166666666666,,8.4,55.8,43.2,15.5,52.3960814818148,613961
IE,2011,2819.0,16.195,1161201,60.1,23168.0,19740.0,2.03,171823.5,8.9,80.38,69.0,23765.0,20873.0,19855.0,31.53,4580084,78.6,2308372,2271713,10.1,18.0,97.35833333333332,,8.8,55.0,41.9,19.0,53.1262188066217,616902
IE,2012,2892.0,15.649,1152689,60.2,23165.0,19759.0,1.98,175218.5,8.6,76.5,68.8,23668.0,20413.0,20713.0,31.579,4599533,78.5,2320803,2278731,11.5,17.8,99.20833333333331,,8.7,56.3,43.8,18.9,53.526085259892,616989
IE,2013,2949.0,15.018,1146982,61.2,23621.0,19926.0,1.93,179285.6,10.6,80.77,71.8,24484.0,20908.0,20680.0,31.654,4623816,78.5,2334160,2289656,11.4,16.8,99.73333333333332,31.8,11.1,57.9,45.9,19.9,53.6761292190199,615655
IE,2014,2629.0,14.505,1146250,62.3,23550.0,20264.0,1.89,195469.9,11.8,96.59,74.1,24636.0,20933.0,22045.0,31.738,4657740,78.5,2353144,2304596,11.0,15.6,100.03333333333336,30.7,10.9,,,19.9,53.6803188440974,615310
IE,2015,3289.0,13.958,1149097,63.7,24746.0,21790.0,1.85,263506.8,12.4,103.25,76.1,25739.0,22862.0,22116.0,31.902,4701957,78.5,2375715,2326242,10.9,15.5,100.0,32.0,15.3,60.3,47.1,20.1,53.6515347244984,616508
IE,2016,3255.0,13.41,1154573,65.3,25753.0,22460.0,1.81,269724.8,12.2,112.06,77.5,26591.0,23703.0,22626.0,32.075,4755335,78.5,2401805,2353530,10.7,14.5,99.79166666666669,31.9,16.5,60.7,47.3,24.3,53.6011040972192,618863
IE,2017,3412.0,12.89,1163632,66.9,26850.0,22881.0,1.77,298528.3,12.2,125.15,79.1,28506.0,23800.0,22021.0,32.126,4807388,78.4,2427317,2380071,14.5,18.3,100.05,,17.6,,,24.3,53.5073414898247,622628
IE,2018,,12.841,1175384,67.9,29051.0,24920.0,1.75,327441.4,12.3,134.23,80.2,30049.0,26459.0,21053.0,32.129,4867316,78.5,2456764,2410552,17.2,21.3,100.76666666666668,,18.7,60.0,52.1,24.3,53.2567091442027,625970
IE,2019,,12.387,1186746,68.8,29904.0,25567.0,1.71,356357.4,12.5,135.32,81.3,30938.0,26678.0,20313.0,32.236,4934340,78.5,2491071,2443269,17.7,21.9,101.65,,26.0,59.3,51.5,24.3,53.0733474272173,629845
IE,2020,,12.082,1193312,65.8,30858.0,26961.0,1.63,375249.6,12.7,136.28,78.5,32281.0,28121.0,9523.0,32.215,4985382,78.5,2517652,2467730,31.9,32.2,101.18333333333334,,28.8,62.2,54.5,27.3,52.8944404815541,631195
IE,2021,,11.764,1196296,69.9,32091.0,28343.0,1.78,434069.7,10.1,155.1,80.0,33505.0,29705.0,16717.0,32.2,5033164,78.5,2542409,2490755,40.6,39.7,103.54545454545456,,30.2,,,27.7,52.6689525609488,630076
IE,2022,,11.472,1198944,72.6,32930.0,28989.0,1.54,506282.4,11.4,168.41,84.0,34769.0,31283.0,,32.2,5165700,78.6,2611573,2554127,36.6,37.2,111.99166666666667,,33.7,66.1,59.8,27.9,52.4139225568285,628413
IT,2009,54456.0,9.591,13847704,49.5,17780.0,15392.0,1.45,1577255.9,23.4,,72.9,19091.0,16627.0,230613.0,31.121,59095365,75.1,30485669,28609696,4.0,4.8,91.075,,4.0,24.6,15.8,20.3,57.0151577420513,7895290
IT,2010,54160.0,9.435,13805424,49.2,18169.0,15842.0,1.46,1611279.4,22.7,118.9,71.9,19279.0,17097.0,217700.0,31.231,59277417,75.1,30595096,28682321,3.9,4.7,92.55,,4.5,25.2,16.4,20.2,56.8189017869643,7844090
IT,2011,53806.0,9.153,13733419,49.6,18024.0,15695.0,1.44,1648755.8,22.1,119.5,71.7,19240.0,16981.0,204830.0,31.32,59379449,75.1,30658521,28720928,3.7,4.5,95.26666666666668,30.5,5.9,25.7,16.5,20.5,56.5930069416792,7772154
IT,2012,51319.0,8.892,13633667,50.1,18262.0,15923.0,1.43,1624358.7,20.5,113.6,70.6,19444.0,17065.0,208947.0,31.362,59539717,75.2,30731619,28808098,3.9,4.9,98.425,,10.8,27.4,17.5,20.6,56.3123040690833,7677432
IT,2013,52943.0,8.485,13511131,49.6,17883.0,15624.0,1.39,1612751.3,19.2,107.1,68.8,19017.0,16702.0,194057.0,31.45,60233948,75.1,31046867,29187081,3.8,4.8,99.65,31.1,15.0,28.0,17.8,30.5,56.0476820293855,7572675
IT,2014,52355.0,8.211,13334924,50.1,17804.0,15616.0,1.37,1627405.6,18.9,101.9,69.0,18926.0,16652.0,189765.0,31.507,60789140,75.2,31296063,29493077,3.7,4.4,99.88333333333333,31.3,24.1,,,30.3,55.7784727821178,7438016
IT,2015,82469.0,7.948,13126543,50.5,17852.0,15734.0,1.35,1655355.0,19.7,99.8,70.2,18908.0,16761.0,194377.0,31.628,60730582,75.3,31251626,29478956,3.9,4.7,99.99166666666667,,28.6,31.0,19.4,30.2,55.4402309721967,7277385
IT,2016,99071.0,7.752,12916144,51.6,18248.0,16174.0,1.34,1695786.8,19.9,100.0,71.5,19306.0,17284.0,203258.0,31.733,60627498,75.4,31176467,29451031,4.0,4.5,99.94166666666666,31.9,32.3,31.7,19.5,30.1,55.090992441841,7115631
IT,2017,91629.0,7.519,12705941,52.5,18665.0,16522.0,1.32,1736592.8,19.7,98.8,72.2,19716.0,17504.0,191287.0,31.827,60536709,75.4,31100035,29436674,4.2,4.8,101.26666666666668,32.2,34.0,33.5,20.4,30.2,54.7298890990535,6953947
IT,2018,88458.0,7.221,12505066,53.2,19232.0,16789.0,1.29,1771391.2,19.7,98.3,72.9,20264.0,17799.0,195778.0,31.925,60421760,75.5,30870922,29279401,4.5,5.1,102.525,32.4,36.4,,,35.3,54.3722786008919,6799289
IT,2019,85349.0,7.002,12308718,53.9,19465.0,17052.0,1.27,1796648.5,19.4,98.5,73.3,20596.0,18192.0,184088.0,32.002,59729081,75.5,30638435,29090646,4.3,4.9,103.175,32.7,36.1,34.1,21.9,35.8,54.0102981522332,6647975
IT,2020,66662.0,6.894,12109537,52.1,20417.0,17867.0,1.24,1661239.8,19.7,100.0,71.8,21409.0,18947.0,96841.0,31.983,59438851,75.6,30480690,28958161,15.7,12.1,103.025,33.6,38.4,34.8,22.6,35.6,53.6061662410196,6491458
IT,2021,83192.0,6.931,11908372,53.2,20397.0,17647.0,1.25,1821934.6,19.2,104.0,72.4,21233.0,18554.0,180416.0,31.951,59133173,75.7,30290582,28842591,17.3,12.9,104.96363636363635,33.0,38.8,,,35.8,53.2608375611926,6342498
IT,2022,82596.0,6.903,11716301,55.0,21149.0,18255.0,1.24,1962845.8,19.7,106.8,74.7,22411.0,19637.0,189140.0,32.017,59013667,75.7,30196773,28816894,13.8,11.0,114.2,33.6,42.6,35.5,23.1,33.0,52.8730801629193,6194769
LV,2009,5099.0,10.251,522429,66.2,6305.0,5130.0,1.46,18922.0,0.2,85.34,66.4,6824.0,5715.0,9925.0,28.668,2141669,80.5,1159880,981790,3.4,3.0,94.10666666666668,,17.1,41.1,22.2,22.0,50.8992079896444,265912
LV,2010,4930.0,9.532,508395,64.2,5431.0,4420.0,1.36,17937.5,-0.6,83.25,63.6,5594.0,4656.0,9290.0,28.87,2097555,80.5,1138120,959435,4.2,3.5,92.955,,23.5,45.6,23.9,19.0,50.6762282807676,257635
LV,2011,8302.0,9.276,493644,65.1,5029.0,4114.0,1.33,19666.0,2.0,88.05,67.1,5269.0,4403.0,10760.0,28.985,2059709,80.5,1118334,941376,3.2,2.8,96.88,27.3,26.6,46.4,23.9,21.0,50.5332363699495,249454
LV,2012,7311.0,9.845,478955,66.2,5301.0,4274.0,1.44,22097.5,3.6,93.41,69.8,5678.0,4701.0,11244.0,29.098,2034319,80.5,1103623,930696,3.2,2.9,99.09416666666668,27.5,28.2,51.2,26.2,23.0,50.548747804266,242105
LV,2013,7031.0,10.32,465019,67.5,5555.0,4499.0,1.52,22791.3,4.2,101.08,71.7,5987.0,4950.0,11436.0,29.287,2012647,80.5,1090834,921813,3.8,3.0,99.105,27.9,28.6,53.1,28.4,25.0,50.631604358333,235446
LV,2014,6271.0,10.944,452512,68.4,6127.0,4992.0,1.65,23625.8,4.5,96.57,72.9,6635.0,5492.0,12515.0,29.43,1993782,80.5,1079656,914126,4.1,3.6,99.78916666666667,28.2,31.7,,,18.0,50.6569962055174,229228
LV,2015,5151.0,11.128,441739,70.5,6691.0,5533.0,1.7,24572.1,4.1,102.91,74.6,7295.0,6116.0,13617.0,29.456,1977527,80.5,1069774,907753,3.6,2.6,100.00166666666668,28.5,30.4,54.4,26.0,17.0,50.5667543488529,223373
LV,2016,6061.0,11.146,431376,71.7,7258.0,6027.0,1.74,25371.3,2.8,110.9,74.5,7792.0,6640.0,13002.0,29.602,1959537,80.5,1059546,899991,4.5,3.9,100.10083333333334,28.8,28.5,54.6,30.1,16.0,50.5127897882084,217900
LV,2017,5943.0,10.658,420933,72.6,7551.0,6364.0,1.69,26984.4,4.3,119.69,76.9,8158.0,6990.0,13150.0,29.734,1942248,80.5,1049586,892662,3.5,3.2,102.9975,28.9,28.8,53.9,29.8,17.0,50.4848331697973,212507
LV,2018,5967.0,10.019,411087,74.7,8288.0,6919.0,1.6,29153.6,4.3,132.93,79.0,9122.0,7707.0,13058.0,29.949,1927174,80.6,1039899,887275,4.9,4.7,105.62833333333332,29.2,29.0,53.8,30.0,31.0,50.4525162132722,207403
LV,2019,5971.0,9.733,401392,75.5,9257.0,7697.0,1.61,30572.9,3.7,144.69,79.2,10058.0,8540.0,12861.0,30.017,1913822,80.6,1030889,882933,5.3,4.3,108.53,29.6,31.7,54.6,33.6,30.0,50.2772657397905,201808
LV,2020,5206.0,9.231,391994,75.1,9938.0,8325.0,1.55,30109.5,3.7,147.92,78.8,10657.0,9131.0,10702.0,29.962,1900449,80.6,1022359,878091,6.4,5.6,108.6175,29.8,25.6,55.3,33.8,29.0,50.1240192497831,196483
LV,2021,4643.0,9.068,383352,72.9,10521.0,8699.0,1.57,33348.9,4.8,171.79,77.7,11888.0,9883.0,11228.0,29.935,1884490,80.6,1012349,872141,15.8,11.4,112.0090909090909,30.0,22.2,,,28.0,49.8537820987575,191115
LV,2022,5407.0,8.912,375659,75.5,11263.0,9621.0,1.47,38386.2,3.1,186.61,78.6,12730.0,10907.0,11848.0,30.065,1879383,80.7,1008694,870689,13.5,9.4,131.47333333333333,30.0,19.0,57.1,35.2,30.3,49.4617961802589,185807
LT,2009,9270.0,10.081,795662,67.2,5618.0,4539.0,1.5,26897.0,-0.4,84.41,66.8,6205.0,5038.0,20542.0,28.47,3162916,78.3,1701141,1461776,6.4,6.0,91.33833333333332,,15.0,50.9,36.1,18.7,54.5789316746487,434263
LT,2010,10006.0,9.98,772461,65.0,4921.0,3915.0,1.5,28033.8,-1.5,85.55,63.5,5113.0,4194.0,18688.0,28.773,3097282,78.5,1668571,1428711,5.3,5.2,92.42583333333332,,13.1,54.8,37.8,19.1,54.1667749525888,418417
LT,2011,10341.0,10.187,749311,66.6,4463.0,3776.0,1.55,31317.2,0.6,90.31,67.2,4681.0,4064.0,19221.0,28.868,3028115,78.6,1632748,1395367,4.7,4.8,96.2375,26.7,14.0,56.8,39.7,19.1,53.8079208200583,403188
LT,2012,10399.0,10.391,727012,67.9,5019.0,4218.0,1.6,33410.2,1.2,89.25,69.1,5341.0,4609.0,20660.0,28.986,2987773,78.7,1611572,1376201,5.3,5.7,99.28249999999998,,17.8,57.6,39.8,23.7,53.5323309663769,389186
